"OlinkID","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID20049","NPPB","P16860",0.55,1.9691,"CARDIOMETABOLIC",1
"OID20050","TNNI3","P19429",0.76,1.743,"CARDIOMETABOLIC",1
"OID20051","HNRNPK","P61978",0.76,1,"CARDIOMETABOLIC",1
"OID20052","CEBPB","P17676",0.8,0.6993,"CARDIOMETABOLIC",1
"OID20053","VIM","P08670",0.86,1.9438,"CARDIOMETABOLIC",1
"OID20055","CRHR1","P34998",0.95,0.7865,"CARDIOMETABOLIC",1
"OID20056","TSLP","Q969D9",0.69,0.3704,"CARDIOMETABOLIC",1
"OID20057","MFAP3","P55082",0.98,0.9075,"CARDIOMETABOLIC",1
"OID20058","TCL1B","O95988",0.97,1.0711,"CARDIOMETABOLIC",1
"OID20059","DUOX2","Q9NRD8",0.83,0.3823,"CARDIOMETABOLIC",1
"OID20061","CTF1","Q16619",0.91,1.139,"CARDIOMETABOLIC",1
"OID20062","AKR1C4","P17516",0.83,0.8274,"CARDIOMETABOLIC",1
"OID20063","HEBP1","Q9NRV9",0.98,0.8265,"CARDIOMETABOLIC",1
"OID20064","SERPINB5","P36952",0.98,1.0748,"CARDIOMETABOLIC",1
"OID20065","HK2","P52789",0.87,0.7686,"CARDIOMETABOLIC",1
"OID20066","GRK5","P34947",0.84,0.7321,"CARDIOMETABOLIC",1
"OID20067","VSTM2L","Q96N03",0.87,0.5083,"CARDIOMETABOLIC",1
"OID20068","TIA1","P31483",0.52,0.7891,"CARDIOMETABOLIC",1
"OID20069","CNPY2","Q9Y2B0",0.75,0.9212,"CARDIOMETABOLIC",1
"OID20070","CRX","O43186",0.8,0.403,"CARDIOMETABOLIC",1
"OID20071","VAMP5","O95183",0.15,0.6918,"CARDIOMETABOLIC",1
"OID20072","SUSD1","Q6UWL2",0.05,0.5462,"CARDIOMETABOLIC",1
"OID20073","RCOR1","Q9UKL0",0.44,0.4736,"CARDIOMETABOLIC",1
"OID20074","TNF","P01375",0.09,0.895,"CARDIOMETABOLIC",1
"OID20075","CA5A","P35218",0.17,1.0235,"CARDIOMETABOLIC",1
"OID20076","FABP6","P51161",0.44,0.8256,"CARDIOMETABOLIC",1
"OID20077","STK11","Q15831",0.06,0.8678,"CARDIOMETABOLIC",1
"OID20078","TSPAN1","O60635",0.81,0.602,"CARDIOMETABOLIC",1
"OID20079","ACTA2","P62736",0.6,0.2262,"CARDIOMETABOLIC",1
"OID20080","MTPN","P58546",0.97,0.4523,"CARDIOMETABOLIC",1
"OID20081","EDIL3","O43854",0.04,1.1801,"CARDIOMETABOLIC",1
"OID20082","ZBTB17","Q13105",0.06,0.502,"CARDIOMETABOLIC",1
"OID20083","PTN","P21246",0.43,0.1485,"CARDIOMETABOLIC",1
"OID20084","FGFR1OP","O95684",0.75,1.5219,"CARDIOMETABOLIC",1
"OID20085","LRMP","Q12912",0.34,1.0504,"CARDIOMETABOLIC",1
"OID20086","COMT","P21964",0.03,0.4031,"CARDIOMETABOLIC",1
"OID20087","MMP7","P09237",0.43,1.2151,"CARDIOMETABOLIC",1
"OID20088","PON2","Q15165",0.47,-0.01,"CARDIOMETABOLIC",1
"OID20089","ADAMTS16","Q8TE57",0.44,0.3069,"CARDIOMETABOLIC",1
"OID20090","GP2","P55259",0.05,1.2077,"CARDIOMETABOLIC",1
"OID20091","WASF1","Q92558",0.61,0.8841,"CARDIOMETABOLIC",1
"OID20092","MPHOSPH8","Q99549",0.82,1.1574,"CARDIOMETABOLIC",1
"OID20093","DNAJB8","Q8NHS0",0.87,0.5276,"CARDIOMETABOLIC",1
"OID20094","SLITRK6","Q9H5Y7",0.05,1.5126,"CARDIOMETABOLIC",1
"OID20095","GPR37","O15354",0.06,1.6581,"CARDIOMETABOLIC",1
"OID20096","GZMH","P20718",0.05,0.6228,"CARDIOMETABOLIC",1
"OID20097","GYS1","P13807",0.17,1.4454,"CARDIOMETABOLIC",1
"OID20098","THPO","P40225",0.34,1.3429,"CARDIOMETABOLIC",1
"OID20099","CLEC1A","Q8NC01",0.09,1.0432,"CARDIOMETABOLIC",1
"OID20100","ENTPD6","O75354",0.04,0.2682,"CARDIOMETABOLIC",1
"OID20101","IL6","P05231",0.04,1.3918,"CARDIOMETABOLIC",1
"OID20102","CEACAM8","P31997",0.06,1.1543,"CARDIOMETABOLIC",1
"OID20103","S100P","P25815",0.36,1.4024,"CARDIOMETABOLIC",1
"OID20104","ENTPD5","O75356",0.04,0.324,"CARDIOMETABOLIC",1
"OID20105","ACE2","Q9BYF1",0.14,0.7389,"CARDIOMETABOLIC",1
"OID20106","DCN","P07585",0.03,0.508,"CARDIOMETABOLIC",1
"OID20107","GLO1","Q04760",0.03,0.2901,"CARDIOMETABOLIC",1
